DateTime,EraTemperatureMilliDegC,UcTemperatureMilliDegC
28:23.5,65500,1088
28:27.8,65500,1088
28:28.5,65500,1088
28:32.8,65500,1088
28:33.6,65500,1088
28:37.8,65500,1088
28:38.6,65500,1088
28:42.8,65500,1088
28:43.6,65500,1088
28:47.8,65500,1088
28:48.6,65500,1089
28:52.8,65500,1089
28:53.6,65500,1088
28:57.8,65500,1089
28:58.6,65500,1089
29:02.8,65500,1089
29:03.6,65500,1089
29:07.8,65500,1089
29:08.6,65500,1089
29:12.9,65500,1089
29:13.6,65500,1089
29:17.9,65500,1089
29:18.6,65500,1089
29:22.9,65500,1089
29:23.6,65500,1090
29:27.9,65500,1089
29:28.6,65500,1090
29:32.9,65500,1090
29:33.6,65500,1090
29:37.9,65500,1090
29:38.6,65500,1090
29:42.9,65500,1090
29:43.7,65500,1090
29:47.9,65500,1090
29:48.7,65500,1090
29:52.9,65500,1090
29:53.7,65500,1090
29:57.9,65500,1090
29:58.7,65500,1090
30:02.9,65500,1090
30:03.7,65500,1090
30:08.0,65500,1090
30:08.8,65500,1090
30:12.9,65500,1090
30:13.7,65500,1090
30:18.0,65500,1090
30:18.7,65500,1090
30:23.0,65500,1090
30:23.7,65500,1090
30:28.0,65500,1090
30:28.7,65500,1090
30:33.0,65500,1090
30:33.7,65500,1090
30:38.0,65500,1090
30:38.7,65500,1091
30:43.0,65500,1091
30:43.7,65500,1091
30:48.0,65500,1090
30:48.8,65500,1091
30:53.0,65500,1091
30:53.8,65500,1091
30:58.0,65500,1091
30:58.8,65500,1091
31:03.0,65500,1091
31:03.8,65500,1091
31:08.0,65500,1091
31:08.8,65500,1091
31:13.0,65500,1091
31:13.8,65500,1091
31:18.0,65500,1091
31:18.8,65500,1091
31:23.0,65500,1091
31:23.8,65500,1091
31:28.1,65500,1091
31:28.8,65500,1091
31:33.1,65500,1091
31:33.8,65500,1091
31:38.1,65500,1091
31:38.8,65500,1091
31:43.1,65500,1091
31:43.8,65500,1091
31:48.1,65500,1091
31:48.9,65500,1091
31:53.1,65500,1091
31:53.9,65500,1091
31:58.1,65500,1091
31:58.9,65500,1091
32:03.1,65500,1092
32:03.9,65500,1092
32:08.2,65500,1091
32:08.9,65500,1092
32:13.1,65500,1091
32:13.9,65500,1092
32:18.1,65500,1092
32:18.9,65500,1092
32:23.1,65500,1092
32:23.9,65500,1092
32:28.1,65500,1092
32:28.9,65500,1092
32:33.2,65500,1091
32:33.9,65500,1092
32:38.2,65500,1092
32:38.9,65500,1092
32:43.2,65500,1092
32:43.9,65500,1093
32:48.2,65500,1092
32:48.9,65500,1093
32:53.2,65500,1092
32:54.0,65500,1092
32:58.2,65500,1093
32:59.0,65500,1093
33:03.2,65500,1092
33:04.0,65500,1092
33:08.3,65500,1093
33:09.0,65500,1093
33:13.2,65500,1092
33:14.0,65500,1093
33:18.2,65500,1093
33:19.0,65500,1093
33:23.2,65500,1093
33:24.0,65500,1092
33:28.2,65500,1092
33:29.0,65500,1093
33:33.2,65500,1093
33:34.0,65500,1093
33:38.3,65500,1093
33:39.0,65500,1093
33:43.3,65500,1093
33:44.0,65500,1093
33:48.3,65500,1093
33:49.0,65500,1093
33:53.3,65500,1093
33:54.0,65500,1093
33:58.3,65500,1093
33:59.0,65500,1093
34:03.3,65500,1093
34:04.0,65500,1093
34:08.3,65500,1093
34:09.1,65500,1093
34:13.3,65500,1093
34:14.1,65500,1093
34:18.3,65500,1093
34:19.1,65500,1093
34:23.3,65500,1093
34:24.1,65500,1093
34:28.3,65500,1093
34:29.1,65500,1093
34:33.3,65500,1093
34:34.1,65500,1093
34:38.3,65500,1093
34:39.1,65500,1094
34:43.3,65500,1094
34:44.1,65500,1094
34:48.4,65500,1093
34:49.1,65500,1093
34:53.4,65500,1093
34:54.1,65500,1093
34:58.4,65500,1094
34:59.1,65500,1094
35:03.4,65500,1093
35:04.1,65500,1094
35:08.4,65500,1094
35:09.1,65500,1093
